"Country Name","Country Code","Year","average_value_Armed forces personnel (% of total labor force)","average_value_Armed forces personnel, total","average_value_Arms exports (SIPRI trend indicator values)","average_value_Arms imports (SIPRI trend indicator values)","average_value_Battle-related deaths (number of people)","average_value_CPIA building human resources rating (1=low to 6=high)","average_value_CPIA business regulatory environment rating (1=low to 6=high)","average_value_CPIA debt policy rating (1=low to 6=high)","average_value_CPIA economic management cluster average (1=low to 6=high)","average_value_CPIA efficiency of revenue mobilization rating (1=low to 6=high)","average_value_CPIA equity of public resource use rating (1=low to 6=high)","average_value_CPIA financial sector rating (1=low to 6=high)","average_value_CPIA fiscal policy rating (1=low to 6=high)","average_value_CPIA gender equality rating (1=low to 6=high)","average_value_CPIA macroeconomic management rating (1=low to 6=high)","average_value_CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","average_value_CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","average_value_CPIA property rights and rule-based governance rating (1=low to 6=high)","average_value_CPIA public sector management and institutions cluster average (1=low to 6=high)","average_value_CPIA quality of budgetary and financial management rating (1=low to 6=high)","average_value_CPIA quality of public administration rating (1=low to 6=high)","average_value_CPIA social protection rating (1=low to 6=high)","average_value_CPIA structural policies cluster average (1=low to 6=high)","average_value_CPIA trade rating (1=low to 6=high)","average_value_CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","average_value_Expense (% of GDP)","average_value_IDA resource allocation index (1=low to 6=high)","average_value_Intentional homicides (per 100,000 people)","average_value_Intentional homicides, female (per 100,000 female)","average_value_Intentional homicides, male (per 100,000 male)","average_value_Internally displaced persons, new displacement associated with conflict and violence (number of cases)","average_value_Internally displaced persons, new displacement associated with disasters (number of cases)","average_value_Internally displaced persons, total displaced by conflict and violence (number of people)","average_value_Methodology assessment of statistical capacity (scale 0 - 100)","average_value_Military expenditure (% of GDP)","average_value_Military expenditure (% of general government expenditure)","average_value_Military expenditure (current USD)","average_value_Other expense (% of expense)","average_value_Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Public credit registry coverage (% of adults)","average_value_Source data assessment of statistical capacity (scale 0 - 100)","average_value_Statistical Capacity score (Overall average)","average_value_Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)","average_value_Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Subsidies and other transfers (% of expense)","average_value_Tax payments (number)","average_value_Time to prepare and pay taxes (hours)","average_value_Total tax and contribution rate (% of profit)"
"Norway","NOR","2011","0.930999070524036","24450","151000000","606000000","","","","","","","","","","","","","","","","","","","","","","34.3526279208918","","2.2431787662","2.1046701011","2.3812992934","","","","","1.45143576983138","3.33412298105175","7232260585.48231","8.02545446964643","","39.6449704142012","0","","","60","47.325","","66.0936457638426","4","87","40.7"
"New Zealand","NZL","1962","","","","8000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.30993664554852","","96323106.1438221","","","","","","","","","","","","",""
"Pakistan","PAK","1968","","","","418000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1039059949951","","492555492.555493","","","","","","","","","","","","",""
"Peru","PER","2009","1.22349851242973","192000","","43000000","50","","","","","","","","","","","","","","","","","","","","","18.4835822470063","","","","","","46000","150000","90","1.52164420298853","7.11060754048052","1848562930.06419","8.37494131904829","93.33333","27.5","23","60","81.1111111111111","40","70.53125","","45.9566733904818","9","380","38.2"
"Puerto Rico","PRI","2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.157557921","2.0976019874","35.670282945","","","","","","","","","","","0","","","60","21.13125","11","","16","218","67"
"Portugal","PRT","2008","1.64031024575633","91000","99000000","144000000","","","","","","","","","","","","","","","","","","","","","","40.3029459380645","","1.1703289153","0.65506436774","1.7264690529","","38","","","1.83655871865259","4.04539073467478","4812099461.67649","3.92825959025069","","28.2608695652174","76.4","","","40","45.1375","","41.181458189929","7","328","42.5"
"Post-demographic dividend","PST","1979","","","19590000000","9737000000","","","","","","","","","","","","","","","","","","","","","","24.8748141366469","","","","","","","","","3.37240652651337","","244842196960.076","","","","","","","","","","","","",""
"Romania","ROU","2002","1.74443152814052","179100","","21000000","","","","","","","","","","","","","","","","","","","","","","30.9811750721573","","3.0018379851","2.17376797","3.8690220798","","","","","2.28729607547664","7.14627855563744","1056136062.48903","3.69301862195419","","10.7246376811594","","","","","","","33.2723553539443","","",""
"Russian Federation","RUS","1990","","","","","192","","","","","","","","","","","","","","","","","","","","","","","14.332526351","6.5081722611","23.222951191","","","","","","","","","","","","","","","","","","","",""
"Sudan","SDN","2018","1.03058644597248","124300","","34000000","243","3","3","1.5","1.83333333333333","2.5","2.5","2.5","2.5","2.5","1.5","2.5","2","2","2.1","2.5","2","2.5","2.66666666666667","2.5","1.5","","2.275","","","","41000","121000","2072000","50","1.78345741926471","10.5639127249895","1047878719.98741","","93.3333","30.5164319248826","0","70","71.1111","53.4","62.775","5","","42","180","45.4"
"El Salvador","SLV","1973","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.864970611800008","","12475644.1281139","","","","","","","","","","","","",""
"Suriname","SUR","2012","0.920358939986595","1840","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","83.33333","11.7647058823529","0","80","64.4444444444444","10","44.73125","","","30","199","27.9"
"Eswatini","SWZ","1992","1.25986897362674","3000","","","","","","","","","","","","","","","","","","","","","","","","","","20.069319892","","","","","","","1.63271154292264","5.83658536585366","20976434.1639756","","","","","","","","","","","","",""
"Syrian Arab Republic","SYR","1963","","","","74000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific (IDA & IBRD countries)","TEA","1993","0.585716210194186","5159000","","2037000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98299288983944","12.8510660626824","23172737409.261","","","","","","","","","","","","",""
"Tajikistan","TJK","2015","0.713626813454886","16300","","","","3.5","3","3.5","3.33333","3","3.5","1.5","3.5","4","3","3.4","3","2.5","2.9","3.5","3","3","2.83333","4","2.5","","3.11667","","","","","11000","","70","1.2819824138045","4.0167011910927","100679580.407099","","93.3334","19.047619047619","0","80","81.1111333333333","50","49.48125","1","","28","276","81.8"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1979","","","","10735000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.78417529440937","","13468421662.7768","","","","","","","","","","","","",""
"World","WLD","1981","","","","42561000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79866997984824","","404072708888.066","","","","","","","","","","","","",""
"World","WLD","1985","","22209230","","34362000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22757176731557","","486712710861.119","","","","","","","","","","","","",""
"South Africa","ZAF","2007","0.326892617304229","62000","137000000","910000000","","","","","","","","","","","","","","","","","","","","","","29.0124873074309","","36.9","10.5","64.2","","","","100","1.17751725288717","4.33312167576969","3525684243.6948","6.31156875848626","93.33333","33","0","80","91.1111111111111","20","59.01875","","60.1161075064663","11","346","36.1"
"Africa Eastern and Southern","AFE","1991","0.686094450914439","814000","","218000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.43210825842429","","8341006681.63332","","","","","","","","","","","","",""
"Arab World","ARB","2000","3.89224947918302","3200800","","2760000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.41054551757319","","40740633349.2575","","","3.77068103116583","","","","","","","","","",""
"Antigua and Barbuda","ATG","2006","","170","","","","","","","","","","","","","","","","","","","","","","","","","","13.298676177","","","","","","20","","","","","50","10.5263157894737","0","40","36.6666666666667","20","46.1875","","","45","184","47.6"
"Austria","AUT","2004","1.00227155853998","39000","3000000","57000000","","","","","","","","","","","","","","","","","","","","","","48.6070087732423","","0.71804021269","0.75568694891","0.67821927814","","","","","0.893480466242935","1.65790767717745","2679282064.65391","11.9873607619265","","33.879781420765","1.1","","","40","","","67.513105458961","","",""
"Belgium","BEL","1968","","","","216000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11509001127571","","646381114.508621","","","","","","","","","","","","",""
"Benin","BEN","2015","0.228591095778966","9750","","","","3.5","3.5","4","3.83333","3.5","3.5","3","3.5","3.5","4","3.4","3.5","3","3.3","3.5","3","3","3.5","4","3.5","","3.50833","","","","","","","40","0.798484704909418","4.39874470003551","90896085.8906078","","80","7.2289156626506","0.6","80","66.6666666666667","70","55.1","6","","54","270","48.9"
"Bulgaria","BGR","2020","","","","44000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","1.82470413961981","4.80693636424897","1247231612.076","","96.6667","26.6666666666667","","80","85.5555666666667","","","","","","",""
"Bolivia","BOL","2018","1.26263119555014","71100","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","","40","1.53659628459923","4.14236396912857","618842083.148114","","100","53.0769230769231","17.6","60","66.6666666666667","100","72.4625","0","","42","1025","83.7"
"Bolivia","BOL","1997","2.04465988994169","70600","","","","","","","","","","","","","","","","","","","","","","","","19.6888540559611","","","","","","","","","2.27361030066829","8.03956865075996","180200446.875488","3.3466679676066","","","","","","","","","47.1728949165772","","",""
"Cameroon","CMR","1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66511723995455","","71436168.327011","","","","","","","","","","","","",""
"Dominican Republic","DOM","1984","","","","25000000","","","","","","","","","","","","","","","","","","","","","","9.9818871830257","","","","","","","","","1.19889598067966","","139000000","","","","","","","","","","","","",""
"East Asia & Pacific (excluding high income)","EAP","2015","0.627354078472181","7031030","1780000000","3330000000","1263","3.36666666666667","2.86666666666667","3.26666666666667","3.26666755555556","3.43333333333333","3.36666666666667","2.73333333333333","3.06666666666667","3.3","3.46666666666667","3.14666666666667","3","3.1","3.13333333333333","3.16666666666667","2.83333333333333","2.7","3.18888822222222","3.96666666666667","3.13333333333333","","3.18388911111111","1.5","","","","7785530","","61.6666666666667","1.68086149974935","5.70221192097636","226317260875.38","6.00866419365104","80.2777833333333","19.7626654495664","14.395","74.1666666666667","72.0370388888889","","","5.85","32.7754216108222","28.55","222.25","33.825"
"Europe & Central Asia","ECS","2011","1.18317466888912","5014014","18167000000","4375000000","","3.8125","3.75","4.125","4.04166666666667","3.625","3.875","3.375","3.9375","4.1875","4.0625","3.7375","3.125","3","3.2875","3.8125","3.125","3.6875","3.77083333333333","4.1875","2.875","36.9851598476754","3.709375","","","","","","","","1.72795388837965","3.96694793198543","399646841332.406","5.09550911598106","","22.7041742286751","14.6510638297872","","","","","","50.4032952622118","27.1489361702128","236.574468085106","40.3361702127659"
"Eritrea","ERI","2006","","","0","","","3.5","2","2.5","2.16666666666667","3.5","3","2","2","3.5","2","3","2","2.5","2.8","2.5","3","3","1.83333333333333","1.5","2.5","","2.45","","","","","","","20","","","","","86.66667","22","0","20","42.2222222222222","20","38.4","","","30","216","84.5"
"Gabon","GAB","1991","3.78398014167222","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","GBR","2014","0.466013629046042","154700","1651000000","211000000","","","","","","","","","","","","","","","","","","","","","","39.4805604699497","","0.90029434275","0.41568795927","1.3994895443","","620","","","2.18390624805422","5.31702425268783","66995468654.2895","8.37731940620779","","22.6153846153846","0","","","60","58.9375","7","56.7089402685969","8","105","33.5"
"Gibraltar","GIB","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","20","9.53125","","","","",""
"Honduras","HND","1974","","","","","","","","","","","","","","","","","","","","","","","","","","10.6524891251812","","","","","","","","","1.59886471144749","","16900000","","","","","","","","","","","","",""
"IDA & IBRD total","IBT","2010","0.814651494346677","20988738","","14520000000","","3.46103896103896","3.24025974025974","3.44155844155844","3.52597402597403","3.48051948051948","3.50649350649351","3.06493506493507","3.46103896103896","3.43506493506493","3.67532467532468","3.33246753246753","3.11038961038961","2.9025974025974","3.10909090909091","3.2987012987013","3.01298701298701","3.14935064935065","3.38095238095238","3.83766233766234","2.85064935064935","","3.33712121212121","","","","","42227450","","56.8141592920354","1.88379321966014","6.64913941893464","401238678249.102","5.26472057253938","82.7580534808259","17.4158523344191","6.76015625","66.6371681415929","68.7364603048181","","","","36.9879690178401","37.265625","293.82265625","51.11484375"
"Ireland","IRL","1985","","13700","","","","","","","","","","","","","","","","","","","","","","","","45.8574793970569","","","","","","","","","1.41604420408081","","301495819.03588","","","","","","","","","","","","",""
"Korea, Rep.","KOR","2006","2.81958349047486","692000","158000000","1653000000","","","","","","","","","","","","","","","","","","","","","","18.5519015236155","","0.850396174","","","","","","","2.48836866984537","12.2835471290869","25177237741.0344","19.9059596415489","","13.3779264214047","0","","","40","58.11875","","52.6831841216307","15","290","32.5"
"St. Lucia","LCA","1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.893913707","4.0095695059","18.043025677","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","LCN","2017","0.909711115656806","2756000","","640000000","","4","3.1875","3.375","3.47916666666667","3.625","3.4375","3.3125","3.4375","3.375","3.625","3.45","3.25","3.25","3.3125","3.125","3.125","3.1875","3.52083333333333","4.0625","3.4375","28.5350596071582","3.440625","","","","","2705482","","","1.24386439913984","3.78722035960379","66620710539.4211","8.66140338042333","","29.7405189620758","15.0393939393939","","","","","5.21212121212121","37.4678771098523","27.6851515151515","330.363636363636","46.2242424242424"
"Latin America & Caribbean","LCN","1987","","","","1747000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79282473536408","","13005289827.4721","","","","","","","","","","","","",""
"Least developed countries: UN classification","LDC","1986","","","","1685000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73340521631034","","3657493033.23584","","","","","","","","","","","","",""
"Liechtenstein","LIE","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7780864541","0","","","","","","","","","","","24","","","","20","21.8","","","","",""
"Sri Lanka","LKA","2001","2.64978658219376","209600","","158000000","1144","","","","","","","","","","","","","","","","","","","","","23.8133775946818","","","","","","","","","4.28699058949232","15.6379592767687","675016502.0194","7.55604223793","","","","","","","","","21.4146543776052","","",""
"Lower middle income","LMC","2017","0.806835054345776","9991000","","11009000000","6624","3.64473684210526","3.06578947368421","3.43421052631579","3.40350877192982","3.5","3.46052631578947","2.90789473684211","3.21052631578947","3.40789473684211","3.56578947368421","3.33947368421053","3.17105263157895","2.93421052631579","3.11052631578947","3.22368421052632","2.94736842105263","3.01315789473684","3.29385964912281","3.90789473684211","2.94736842105263","16.6595871254445","3.28684210526316","","","","1696802","7210351","6142002","55.2272727272727","2.11384655305547","9.3013807700005","147440445497.556","2.90513642373148","85.1515204545455","20.0660832291481","8.24","66.3636363636364","68.9141431818182","","","5.2","32.3500702048175","32.4898181818182","257.968090909091","42.8909090909091"
"Low & middle income","LMY","1967","","","455000000","11479000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.90358736092088","","","","","","","","","","","","","","",""
"Lesotho","LSO","1993","0.258319168832242","2000","","","","","","","","","","","","","","","","","","","","","","","","28.3520936553481","","36.493606485","","","","","","","2.47547266258969","7.01065891472868","22140684.3873748","3.85794809873997","","","","","","","","","13.5777226482369","","",""
"Late-demographic dividend","LTE","2016","0.783586139952354","9681800","9501000000","6871000000","","4.08333333333333","3.75","3.33333333333333","3.36111166666667","3.66666666666667","3.5","3","3.08333333333333","3.83333333333333","3.66666666666667","3.61666666666667","3.25","3.41666666666667","3.41666666666667","3.41666666666667","3.16666666666667","3.41666666666667","3.63888666666667","4.16666666666667","3.41666666666667","","3.50833166666667","","","","","8402308","","81.5625","2.05207113278924","6.26713309168897","366078006750.32","5.37640825018162","83.854184375","19.8891860909438","22.7479166666667","83.125","82.847228125","","","5.60416666666667","44.5172192295902","18.0960416666667","226.405208333333","35.7770833333333"
"Late-demographic dividend","LTE","2004","0.892173156836822","9814930","6880000000","6043000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.6666666666667","2.17524114349196","8.86368303363045","109688149140.601","4.4362403921806","82.7777782222222","15.7863792258697","2.85555555555556","78","76.4814816296296","","","","35.2495150532777","","",""
"Madagascar","MDG","2000","0.380428616240965","28500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21751390900084","6.64531292248175","47210934.6139638","","","8","","","","","","","","","",""
"Myanmar","MMR","1980","","","","41000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42212955528504","","202083467.163444","","","","","","","","","","","","",""
"Malawi","MWI","1970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.641145638337701","","2055000.82200033","","","","","","","","","","","","",""
"Niger","NER","1992","0.143084197037241","5000","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","NER","1960","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","NPL","2002","0.723750024058723","91000","","9000000","3946","","","","","","","","","","","","","","","","","","","","","","","3.4700841738","","","","","","","1.44764998035493","9.76813041562638","85405885.7217701","","","5.85365853658537","","","","","","","","","",""
"OECD members","OED","1965","","","15981000000","15199000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.62151528405279","","86137252809.5844","","","","","","","","","","","","",""
"Other small states","OSS","1997","1.82415090855811","124140","","664000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1665571035.5644","","","8.9171974522293","","","","","","","","","",""
"Pakistan","PAK","2017","1.32577973164094","936000","3000000","837000000","695","3.5","3.5","4","3.16666666666667","3.5","3.5","3.5","2.5","2.5","3","3.2","3","2.5","3.1","3.5","3","3.5","3.5","3.5","3","","3.24166666666667","3.9609206478","","","75000","1800","249000","70","3.77444886134427","17.7176252058298","11461253916.5641","","96.6667","20.5882352941176","9.9","60","75.5555666666667","100","67.225","2","","47","311.5","33.9"
"Peru","PER","1999","1.64764518635337","193000","","96000000","75","","","","","","","","","","","","","","","","","","","","","17.8181315090752","","","","","","","","","1.93063071870992","","992217726.322883","4.93958507485371","","10.8333333333333","","","","","","","37.5008673184496","","",""
"Paraguay","PRY","2007","0.947002808956024","26000","","","","","","","","","","","","","","","","","","","","","","","","11.4827516924891","","13.053415644","1.5589632081","24.181765505","","","","50","0.741436848396038","5.25722863019014","132393616.175746","7.64599851718489","86.66667","10","11","60","65.5555555555556","40","69.95","","24.7714535154213","35","328","35.1"
"Paraguay","PRY","2017","0.792582601050612","27000","","","","","","","","","","","","","","","","","","","","","","","","15.6276790931267","","7.8781917963","1.6893013287","13.856752103","","5200","","40","0.892393871863996","4.58462967850327","348179657.473011","4.97750012809319","83.3333","13.75","25.4","80","67.7777666666667","70","70.6375","1","29.5920570580601","19","378","35"
"Rwanda","RWA","1995","1.59901745480649","47000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.607802874743326","21.3277996339688","56449336.7202935","","","","","","","","","","","","",""
"Somalia","SOM","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","46.66667","8","","20","22.2222222222222","0","28.33125","","","","",""
"Serbia","SRB","1993","2.80335213635056","100000","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","2003","0.578422758486254","1543300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46922038193015","7.04311364082573","7427343619.67011","","","13.6288752433728","","","","","","","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","1965","","","","651000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.04924758193842","","669309717.939733","","","","","","","","","","","","",""
"Sweden","SWE","2012","0.319673797708832","16100","477000000","207000000","","","","","","","","","","","","","","","","","","","","","","32.758851920581","","0.71257784782","0.4456879026","0.98067137477","","","","","1.13011028867624","2.26982359648534","6243671605.39748","11.5951661729974","","44.6991404011461","0","","","60","48.55625","","71.1359232485614","6","122","52.1"
"Timor-Leste","TLS","2017","0.388866745088127","2000","","","","3","2","3.5","3.16666666666667","3","3.5","2.5","3","3.5","3","2.9","2","2","2.5","3","2","2.5","2.83333333333333","4","2.5","56.5407257514964","2.85","","","","","","","50","0.91694336466683","1.83696750902527","25442000","9.80908924791467","73.3333","32.3076923076923","5.6","70","64.4444333333333","50","62.41875","0","35.9101353751002","18","156","11.2"
"Trinidad and Tobago","TTO","1996","1.28108487465791","6900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","TUR","1980","","","23000000","488000000","","","","","","","","","","","","","","","","","","","","","","18.2407372003212","","","","","","","","","3.90031329667967","","2671976285.57263","","","","","","","","","","","","",""
"Uganda","UGA","1973","","","","17000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.49577897160399","","64872640.2666116","","","","","","","","","","","","",""
"Uruguay","URY","1962","","","","100000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","WLD","2006","0.959880876540234","27029682","","24560000000","","3.38461538461538","3.21794871794872","3.44230769230769","3.5474358974359","3.3974358974359","3.37179487179487","3.1474358974359","3.42948717948718","3.44230769230769","3.76282051282051","3.26184210526316","3.05769230769231","2.89102564102564","3.07179487179487","3.23076923076923","2.96794871794872","3.10810810810811","3.38290598290598","3.78205128205128","2.87179487179487","","3.31773504273504","","2.3750682786","9.9348107802","","","","","2.36204466563751","7.03051733073872","1206038706533.1","5.3664030210506","","16.9696642264783","3.89640718562874","","","","","","37.7723149809525","33.940119760479","299.958083832335","51.9185628742515"
"Samoa","WSM","2017","","","","","","4","3.5","3.5","4.16666666666667","4.5","4.5","3.5","4.5","4","4.5","3.9","3.5","4","4.1","4","4","3.5","3.83333333333333","4.5","4","","4","","","","","","","50","","","","","63.3334","10","0","60","57.7778","90","59.84375","9","","37","224","19.3"
"South Africa","ZAF","1991","0.622587861155436","80000","54000000","28000000","","","","","","","","","","","","","","","","","","","","","","27.2006895644933","","","","","","","","","3.22263389360805","","3874415134.79061","0.240619595458305","","","","","","","","","26.9536914698205","","",""
"Africa Eastern and Southern","AFE","1997","0.858687011040934","1248390","","345000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.86386515189637","","4739305120.39884","","","11.8282402528978","","","","","","","","","",""
"Afghanistan","AFG","2012","4.2852910158047","338150","","523000000","7721","3.5","2.5","2.5","3","3","3","2","3","2","3.5","2.7","2.5","1.5","2.5","3.5","2.5","2.5","2.5","3","2","42.3292514484608","2.675","6.2513281666","","","100000","30000","492000","40","1.17541612009987","4.696372864714","238583385.374322","0.363460417816348","70","27.710843373494","0","40","50","30","49.16875","","2.69256576798382","19","275","35.8"
"Belgium","BEL","1979","","","3000000","786000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26134501753371","","3631580468.11257","","","","","","","","","","","","",""
"Brazil","BRA","1993","0.452943057192416","296000","40000000","58000000","","","","","","","","","","","","","","","","","","","","","","","","17.859684115","3.045738228","32.871753098","","","","","1.92792281498297","","7099899155.09737","","","","","","","","","","","","",""
"Brazil","BRA","1972","","","","520000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43581199022501","","1195501487.56211","","","","","","","","","","","","",""
"Barbados","BRB","1998","0.422522528762702","610","","","","","","","","","","","","","","","","","","","","","","","","","","7.4257241938","","","","","","","","","","","","10.7142857142857","","","","","","","","","",""
"Bhutan","BTN","2019","","","","","","4.5","3.5","4","4.166667","3.5","4.5","3","4","4","4.5","4","4","4","4","4","4","3","3.333333","3.5","4.5","","3.875","","","","","","","40","","","","","90.0001","14.8936170212766","0","60","63.3333666666667","80","67.78125","4","","18","52","35.3"
"Botswana","BWA","1996","1.60534864395256","8500","","32000000","","","","","","","","","","","","","","","","","","","","","","28.9626370625942","","","","","","","","","2.89952149833484","7.7952952952953","140560134.769268","0","","","","","","","","","38.2233839693184","","",""
"Botswana","BWA","1986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.66359580269355","","34310908.1814021","","","","","","","","","","","","",""
"Central African Republic","CAF","2004","0.1232810005486","2000","","","","","","","","","","","","","","","","","","","","","","","","9.66162851275332","","","","","","","","0","1.20169301509674","8.83140744676141","15103589.9183206","11.3153571764961","70","","0.1","50","40","20","","","0","","",""
"Cote d'Ivoire","CIV","1996","0.274470861349946","15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.844918598795594","","102660140.122607","","","","","","","","","","","","",""
"Costa Rica","CRI","2013","0.422972225830914","9800","","","","","","","","","","","","","","","","","","","","","","","","26.5177395774488","","8.6670261409","1.5200764092","15.797395662","","65","","80","0","0","0","10.5679482242825","93.3333333333333","38.5964912280702","25.4","60","77.7777777777778","60","73.2","2","22.1122856563046","24","226","58.2"
"Cuba","CUB","1998","1.77666869671681","79000","","","","","","","","","","","","","","","","","","","","","","","","","","7.4102888509","3.3824597935","11.451521138","","","","","","","","","","27.6206322795341","","","","","","","","","",""
"Cyprus","CYP","1998","2.52468221572958","10620","","7000000","","","","","","","","","","","","","","","","","","","","","","54.5445714977583","","0.77032276524","","","","","","","4.67631794591642","13.7399678972713","483748645.108205","4.49484821243344","","5.35714285714286","","","","","","","29.0021436968398","","",""
"Dominica","DMA","2008","","","","","","4","4.5","3","3.8","4","3.5","4","4.5","3.5","4","3.6","3.5","4","3.8","3.5","3.5","3.5","4.2","4","4","","3.9","9.8829575456","","","","","","50","","","","","70","18.75","0","40","53.3333333333333","0","51.5625","","","37","117","37"
"Dominican Republic","DOM","1973","","","","0","","","","","","","","","","","","","","","","","","","","","","10.6746844080519","","","","","","","","","1.79127393696422","","42000000","","","","","","","","","","","","",""
"East Asia & Pacific (excluding high income)","EAP","1987","","","","1920000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Early-demographic dividend","EAR","2015","0.869186824398055","10589970","","13675000000","","3.68333333333333","3.06666666666667","3.41666666666667","3.38333344444444","3.58333333333333","3.53333333333333","2.95","3.21666666666667","3.45","3.51666666666667","3.39666666666667","3.25","2.98333333333333","3.17333333333333","3.23333333333333","3.05","3.06666666666667","3.29444411111111","3.86666666666667","3.01666666666667","21.9054198451242","3.31222244444444","6","","","4121290","12602782","15280500","59.1304347826087","2.64658055734401","10.762134379611","252209943514.477","6.72485591523088","82.4638","22.1625127397387","8.90983606557377","65.4347826086957","69.0096724637681","","","4.13114754098361","34.3768655032991","29.7395081967213","277.768524590164","38.4032786885246"
"European Union","EUU","1981","","","9882000000","7850000000","","","","","","","","","","","","","","","","","","","","","","32.2298282572981","","","","","","","","","2.80644995484008","","75796843418.47","","","","","","","","","","","","",""
"European Union","EUU","1995","1.82902643250158","3557200","4074000000","3013000000","","","","","","","","","","","","","","","","","","","","","","43.7990827894234","","","","","","","","","1.82124654027955","3.49670019176057","150118116061.682","5.26953657984387","","","","","","","","","46.6041314170066","","",""
"Gabon","GAB","1964","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia, The","GMB","2009","0.143909222062723","800","","16000000","","3.5","3.5","3","3.5","3.5","3.5","3","3.5","3.5","4","3.3","3.5","3","2.9","3","3","2.5","3.33333333333333","3.5","2","","3.25833333333333","","","","","","","30","0.489283634204885","3.40876307248467","7095299.57514525","","76.66667","7.54716981132075","0","80","62.2222222222222","20","56.4375","","","48","376","285.9"
"Guyana","GUY","1997","1.09149164656796","3100","","","","","","","","","","","","","","","","","","","","","","","","","","11.47795112","","","","","","","","","","","","","","","","","","","","","",""
