"Country Name","Country Code","Year","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","GINI index (World Bank estimate)","Income share held by fourth 20%","Income share held by highest 10%","Income share held by highest 20%","Income share held by lowest 10%","Income share held by lowest 20%","Income share held by second 20%","Income share held by third 20%","Population living in slums (% of urban population)","Poverty gap at $1.90 a day (2011 PPP) (%)","Poverty gap at $3.20 a day (2011 PPP) (%)","Poverty gap at $5.50 a day (2011 PPP) (%)","Poverty gap at national poverty lines (%)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Rural poverty gap at national poverty lines (%)","Rural poverty headcount ratio at national poverty lines (% of rural population)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","Urban poverty gap at national poverty lines (%)","Urban poverty headcount ratio at national poverty lines (% of urban population)"
"Early-demographic dividend","EAR","1995","0","0","0","0","0","0","0","0","0","0","44.4921120562363","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Finland","FIN","2003","0","0","27.7","22.1","23","37.2","3.9","9.4","13.9","17.4","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Georgia","GEO","2011","0","0","39.5","22.4","29.7","45.6","2","5.6","10.9","15.6","0","3.8","10.5","25.2","0","11.6","29.4","60","34.1","0","0","2.46","5.97","0","0"
"Georgia","GEO","2001","0","0","39.6","22.1","30","45.8","2","5.8","10.9","15.4","0","7.1","18.6","38.4","0","20.9","49.4","78.2","0","0","0","0","0","0","0"
"Georgia","GEO","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.9","0","0","0","0","0","0"
"IDA total","IDA","1981","0","0","0","0","0","0","0","0","0","0","0","22","39.8","58.6","0","51.9","76.3","90.4","0","0","0","0","0","0","0"
"Jamaica","JAM","2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.9","0","24.1","0","0","0","9.9"
"Lower middle income","LMC","1981","0","0","0","0","0","0","0","0","0","0","0","18.6","38.3","58.2","0","51.7","77.7","90.9","0","0","0","0","0","0","0"
"Luxembourg","LUX","2013","0","0","32","23.2","24.2","39.7","3.1","7.6","12.5","17","0","0","0.1","0.1","0","0.1","0.1","0.1","0","0","0","0","0","0","0"
"Macedonia, FYR","MKD","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.9","0","0","0","0","0","0"
"Peru","PER","2004","0","0","50.3","20.8","38.4","54.7","1.3","3.7","7.9","13","0","4.5","11.4","23.2","0","13.6","28.4","49.9","58.7","0","83.4","0","0","0","48.2"
"Portugal","PRT","2010","0","0","35.8","21.9","28.2","43.4","2.7","7","11.8","15.9","0","0","0.1","0.6","0","0.2","0.5","2","0","0","0","13.11","27.85","0","0"
"Sweden","SWE","2004","0","0","26.1","22.9","21.1","35.5","3.7","9.3","14.3","17.9","0","0.3","0.4","0.5","0","0.5","0.5","0.7","0","0","0","0","0","0","0"
"Tonga","TON","2009","0","0","37.5","22.1","28.9","44.6","2.7","6.7","11","15.5","0","0.3","1.9","9.2","0","1.1","8.9","31.9","22.5","0","0","0","0","0","0"
"Turkey","TUR","2014","0","0","41.2","21.6","31.6","47.7","2.2","5.8","10.2","14.7","11.9","0","0.4","2.9","0","0.3","2.4","10.5","1.6","0","0","0","0","0","0"
"Turkey","TUR","2000","0","0","0","0","0","0","0","0","0","0","17.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colombia","COL","2001","0","0","57.2","18.4","45.8","61.2","0.5","2.4","6.9","11.1","0","10.2","17.4","31","0","19.7","36.6","60.5","0","0","0","0","0","0","0"
"France","FRA","2011","0","0","33.3","21.9","26.9","41.4","3.1","7.8","12.5","16.4","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Indonesia","IDN","2015","0","0","0","0","0","0","0","0","0","0","0","1.2","9","27","0","7.2","33.1","67","11.2","0","0","2.51","5.68","0","0"
"Indonesia","IDN","2001","0","0","0","0","0","0","0","0","0","0","0","7.7","29","54","0","35.5","77.6","94.8","18.4","0","0","0","0","0","0"
"Kyrgyz Republic","KGZ","2007","0","0","33.9","22.4","26.5","41.8","3.1","7.6","12","16.1","0","2","10.3","29.4","6.6","9.9","36","71.1","35","0","41.7","0","0","0","23.2"
"Low & middle income","LMY","1993","0","0","0","0","0","0","0","0","0","0","0","14.6","31.5","50.3","0","41.8","67","83.1","0","0","0","0","0","0","0"
"Mexico","MEX","1990","0","0","0","0","0","0","0","0","0","0","46.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nigeria","NGA","1990","0","0","0","0","0","0","0","0","0","0","154.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Russian Federation","RUS","2006","0","0","41","21.7","31.3","47.5","2.3","5.9","10.2","14.7","0","0.1","0.5","3","1.6","0.3","2.2","11.6","15.2","0","0","0","0","0","0"
"El Salvador","SLV","1996","0","0","51","20.2","39.4","55.5","1.1","3.5","8.1","12.8","0","5.9","12.2","24.3","0","14.1","28.9","52.6","0","0","0","0","0","0","0"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2009","0","0","0","0","0","0","0","0","0","0","28.9538881098005","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper middle income","UMC","2008","0","0","0","0","0","0","0","0","0","0","0","2.8","8.5","19.7","0","9.9","24","45.6","0","0","0","0","0","0","0"
"Uruguay","URY","1981","0","0","43.6","21.6","33.3","49.2","1.9","5","9.6","14.6","0","0","0.4","3.6","0","0","3.3","13.2","0","0","0","0","0","0","0"
"Venezuela, RB","VEN","2005","0","0","52.4","22.1","37.8","54.6","0","1.5","8","13.8","32","13.3","17.5","26.6","0","18.9","29","48.8","42.4","0","0","0","0","0","0"
"World","WLD","1993","0","0","0","0","0","0","0","0","0","0","0","11.9","25.6","40.9","0","33.9","54.4","67.9","0","0","0","0","0","0","0"
"Burundi","BDI","2014","0","0","0","0","0","0","0","0","0","0","57.9","0","0","0","25.1","0","0","0","64.9","26.9","68.8","0","0","9.2","27.6"
"Benin","BEN","2005","0","0","0","0","0","0","0","0","0","0","71.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burkina Faso","BFA","2000","0","0","0","0","0","0","0","0","0","0","65.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivia","BOL","2008","0","0","50.8","20.9","38.5","54.8","0.9","3.2","8","13.1","0","5","9.3","18.1","27.8","11.1","20.3","39.2","57.3","43.3","73.6","0","0","19.6","48.7"
"Canada","CAN","1997","0","0","31.6","23.1","23.8","39.2","2.8","7.4","12.9","17.4","0","0.2","0.3","0.5","0","0.5","0.5","1","0","0","0","0","0","0","0"
"Europe & Central Asia","ECS","1993","0","0","0","0","0","0","0","0","0","0","0","1.5","4.9","13.5","0","5","15.1","35.9","0","0","0","0","0","0","0"
"Guyana","GUY","2009","0","0","0","0","0","0","0","0","0","0","33.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA total","IDA","2015","0","0","0","0","0","0","0","0","0","0","0","11.2","25.2","45.3","0","30.8","59","83.1","0","0","0","0","0","0","0"
"Ireland","IRL","2012","0","0","33.2","22.3","25.9","41.1","3","7.5","12.5","16.6","0","0.1","0.2","0.5","0","0.2","0.5","1","0","0","0","0","0","0","0"
"Myanmar","MMR","2015","0","0","38.1","20.6","31.7","45.7","3","7.3","11.3","15","0","1.5","7.8","25.9","0","6.4","29.8","67.6","32.1","0","0","0","0","0","0"
"Pre-demographic dividend","PRE","2014","0","0","0","0","0","0","0","0","0","0","58.7221226160279","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Slovenia","SVN","1993","0","0","29.2","21.9","24.5","38.6","4","9.3","13.3","16.9","0","0","0.1","0.1","0","0","0.1","0.6","0","0","0","0","0","0","0"
"Thailand","THA","2006","0","0","41.8","21.4","32.5","48.5","2.5","6","9.9","14.3","0","0.1","1.2","7.5","0","0.7","6.2","27.1","21.9","0","28.3","0","0","0","11.8"
"Tunisia","TUN","2014","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uganda","UGA","1999","0","0","43","20.3","34.9","49.7","2.3","5.9","10","14.1","0","27.6","48.1","66.4","10","66","86.6","95.1","33.8","11.2","37.4","0","0","2.1","9.6"
"Burkina Faso","BFA","2003","0","0","43.3","20.9","33.8","49.8","2.3","5.8","9.7","13.9","0","23.7","43","61.9","19","57.3","80.3","93.1","51.1","25.4","65.8","0","0","6.2","22.2"
"Ecuador","ECU","2013","0","0","46.9","21","35.7","52.2","1.6","4.5","8.7","13.5","0","1","3.1","9.4","9","3.2","10.1","26.9","25.6","16.4","42","0","0","5.4","17.6"
"Estonia","EST","2015","6.15","6.62","32.7","23.2","24.4","40.4","2.7","7.5","12.5","16.4","0","0.4","0.5","0.9","0","0.5","1","2","0","0","0","14.44","29.04","0","0"
"Indonesia","IDN","2013","0","0","39.5","20.7","31.9","47.4","3.1","7.2","10.4","14.3","0","1.4","11.3","30.8","1.8","9.4","40.7","71","11.4","2.2","14.3","0","0","1.3","8.4"
"Israel","ISR","1997","0","0","38.1","22.9","28.2","44.3","2.4","6.1","10.7","15.9","0","0.2","0.3","0.9","0","0.2","0.7","3.2","0","0","0","0","0","0","0"
"Cambodia","KHM","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1","0","0","0","17.7","0","20.8","0","0","0","6.4"
"Latin America & Caribbean","LCN","1993","0","0","0","0","0","0","0","0","0","0","0","5.4","11.4","22.6","0","13.2","27.1","48","0","0","0","0","0","0","0"
"Moldova","MDA","2004","0","0","35","21.8","27.7","42.9","3","7.4","11.8","16.1","0","1.9","9.5","27.5","0","8.7","32.8","69.2","26.5","0","0","0","0","0","0"
"Montenegro","MNE","2010","0","0","28.9","23.3","22.6","37.2","3.6","8.7","13.1","17.7","0","0","0.1","0.8","1.1","0","0.8","4.5","6.6","1.7","11.3","0","0","0.7","4"
"Nicaragua","NIC","2009","0","0","43.9","21","34.2","49.9","2","5.3","9.6","14.1","0","1.9","7","19.4","14.1","7.3","22.4","49.8","42.5","0","63.3","2.94","7.9","0","26.8"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1995","0","0","0","0","0","0","0","0","0","0","63.9347514267724","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Venezuela, RB","VEN","1995","0","0","47.8","21.5","35.8","52.3","1.1","3.8","8.7","13.8","0","4.9","9.6","20","0","10.4","22.9","45.1","0","0","0","0","0","0","0"
"Zimbabwe","ZWE","1995","0","0","0","0","0","0","0","0","0","0","3.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bulgaria","BGR","2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"Comoros","COM","2014","0","0","0","0","0","0","0","0","0","0","69.6","0","0","0","0","0","0","0","42","0","0","0","0","0","0"
"Mauritania","MRT","2008","0","0","35.7","23.4","26.2","42.4","2.6","6.7","11.3","16.3","0","2.7","10.7","27.4","14.5","10.8","34.4","64.7","42","22.3","59.4","2.37","5.27","4.9","20.8"
"Pakistan","PAK","2000","0","0","0","0","0","0","0","0","0","0","48.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rwanda","RWA","2009","0","0","0","0","0","0","0","0","0","0","65.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solomon Islands","SLB","2005","0","0","46.1","20.6","35.7","52","1.9","5","9.1","13.3","0","17.3","34.6","53.8","0","45.6","70.6","87.3","22.7","0","0","0","0","0","0"
"United States","USA","1991","0","0","38.2","23.3","27.6","43.9","1.9","5.5","11","16.3","0","0.3","0.5","0.7","0","0.5","0.7","1.5","0","0","0","0","0","0","0"
"Vietnam","VNM","2005","0","0","0","0","0","0","0","0","0","0","41.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Canada","CAN","2004","0","0","33.7","22.9","25.6","40.9","2.6","7","12.4","16.9","0","0.1","0.2","0.3","0","0.2","0.2","0.7","0","0","0","0","0","0","0"
"East Asia & Pacific","EAS","2008","0","0","0","0","0","0","0","0","0","0","0","3.8","13","29.2","0","15.1","37.4","63.6","0","0","0","0","0","0","0"
"Spain","ESP","2010","0","0","35.2","23.2","26","41.7","2.1","6.3","12","16.8","0","0.5","0.7","1","0","0.7","1","2.2","0","0","0","17.74","39.51","0","0"
"France","FRA","2004","0","0","30.6","22.4","24.5","39.2","3.5","8.4","12.9","17","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Greece","GRC","2003","0","0","32.8","23.3","24.6","39.9","2.8","7.2","12.4","17.2","0","0.4","0.5","0.7","0","0.5","0.7","1.5","0","0","0","0","0","0","0"
"IDA total","IDA","1993","0","0","0","0","0","0","0","0","0","0","0","23.4","41.5","60.5","0","54.1","78.4","92.2","0","0","0","0","0","0","0"
"Kenya","KEN","2007","0","0","0","0","0","0","0","0","0","0","54.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low income","LIC","1984","0","0","0","0","0","0","0","0","0","0","0","27.4","45.1","62.1","0","59.6","79.2","90.3","0","0","0","0","0","0","0"
"Late-demographic dividend","LTE","2000","0","0","0","0","0","0","0","0","0","0","35.4672673653974","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rwanda","RWA","2013","4.82","2.78","45.1","19","37.9","52.2","2.4","6","9.6","13.2","0","20.2","40.7","60.4","0","56","80.8","92.2","39.1","0","0","1.03","2.63","0","0"
"Ukraine","UKR","2002","0","0","29","22.6","23.2","38","3.6","8.8","13.3","17.3","0","0.3","2.5","13.7","0","1.7","11.9","47.2","83.3","0","0","0","0","0","0"
"Zambia","ZMB","2015","-0.59","2.93","57.1","19.3","44.4","61.3","1","2.9","6","10.6","0","29.5","44.5","60","0","57.5","74.3","87.2","54.4","0","0","0.66","2.99","0","0"
"Germany","DEU","2001","0","0","30.3","22.4","24.2","39.1","3.5","8.6","13","16.9","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Algeria","DZA","1990","0","0","0","0","0","0","0","0","0","0","23.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Egypt, Arab Rep.","EGY","2015","0","0","31.8","20.6","27.8","41.5","3.9","9.1","12.8","16","0","0.2","3","18.5","0","1.3","16.1","61.9","27.8","0","0","0","0","0","0"
"Latin America & Caribbean","LCN","2000","0","0","0","0","0","0","0","0","0","0","30.2100094549749","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sri Lanka","LKA","2012","0","0","39.2","20.5","32.2","47","3","7.1","10.8","14.5","0","0.3","3.4","16.3","1.2","1.9","16.1","51","6.7","1.4","7.6","3.37","7.51","0.3","2.1"
"Middle East & North Africa","MEA","1990","0","0","0","0","0","0","0","0","0","0","78.923185348492","2.4","14.4","45.2","0","12.4","53.6","117.6","0","0","0","0","0","0","0"
"Pakistan","PAK","1995","0","0","0","0","0","0","0","0","0","0","49.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Panama","PAN","2015","0","0","50.8","20.5","39","55.3","1.1","3.4","8","12.8","0","0.5","2.1","5.9","0","2","6.7","15.4","23","0","0","0","0","0","0"
"Paraguay","PRY","2009","0","0","49.1","20.5","38.1","53.9","1.4","4","8.4","13.2","0","1.7","4.8","12.6","0","5.8","14.4","31.9","41.6","0","0","0","0","0","0"
"Sweden","SWE","2014","0","0","28.4","22.9","22.2","37","3.1","8.4","14","17.7","0","0.3","0.4","0.6","0","0.5","0.7","0.9","0","0","0","0","0","0","0"
"South Asia (IDA & IBRD)","TSA","2009","0","0","0","0","0","0","0","0","0","0","34.7593500917455","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Turkey","TUR","1995","0","0","0","0","0","0","0","0","0","0","20.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uruguay","URY","2012","0","0","39.9","22.8","29.3","45.9","2.1","5.6","10.3","15.4","0","0","0.2","1.4","2.2","0.1","1.1","5.5","12.4","0.7","4.1","0","0","2.3","13.1"
"World","WLD","1999","0","0","0","0","0","0","0","0","0","0","0","9.5","22.3","38.1","0","28.6","50.6","66.8","0","0","0","0","0","0","0"
"Yemen, Rep.","YEM","2005","0","0","34.7","21.1","28.6","43.2","3.3","7.9","12","15.9","67.2","1.8","10.8","31.5","8.9","9.8","38.8","76.6","34.8","10.6","40.1","0","0","4.5","20.7"
"Dominican Republic","DOM","2000","0","0","52","20","40.6","56.6","1.2","3.6","7.6","12.2","21","1.9","4.8","11.7","0","5.5","13","30.2","32.1","0","47.4","0","0","0","23.7"
"Kenya","KEN","1997","0","0","45","20.2","36.3","51.3","2.3","5.6","9.3","13.6","0","9.8","24.8","45.2","0","31.9","59.5","83.1","0","0","0","0","0","0","0"
"Nicaragua","NIC","2001","0","0","52.9","18.7","42.9","57.9","1.4","3.9","7.7","11.8","0","5.5","14.2","29.7","0","16.5","37.7","62.6","45.8","0","0","0","0","0","0"
"South Asia","SAS","2011","0","0","0","0","0","0","0","0","0","0","0","3.9","18.9","42.7","0","19.8","58.9","86.4","0","0","0","0","0","0","0"
"Sub-Saharan Africa","SSF","1990","0","0","0","0","0","0","0","0","0","0","134.163765690558","48.6","82.6","117.8","0","108.6","149.8","177","0","0","0","0","0","0","0"
"Zambia","ZMB","2005","0","0","0","0","0","0","0","0","0","0","57.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA total","IDA","1999","0","0","0","0","0","0","0","0","0","0","0","21.2","39","58.3","0","50.3","76.1","91.1","0","0","0","0","0","0","0"
"Israel","ISR","2010","0","0","42.6","22.9","31.1","47.3","1.8","4.7","9.7","15.5","0","0.1","0.3","1.2","0","0.2","1","4.5","0","0","0","0","0","0","0"
"Kenya","KEN","1992","0","0","57.5","17.3","47.9","61.8","1.2","3.4","6.7","10.7","0","11.8","24.7","42.2","0","31.4","54.2","76","0","0","0","0","0","0","0"
"Kyrgyz Republic","KGZ","2008","0","0","31.5","22.3","25.3","40","3.5","8.4","12.6","16.7","0","0.7","5.9","22.6","7.5","4","25","63.9","31.7","9.2","36.8","0","0","4.5","22.6"
"Panama","PAN","2006","0","0","54.7","20.4","41.2","58.5","0.7","2.5","6.8","11.8","0","4.5","8.8","16.3","0","10.5","19","34.1","0","0","0","0","0","0","0"
"Poland","POL","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.3","0","0","0","0","0","0"
"Turkey","TUR","2003","0","0","42.2","21.5","32.4","48.4","2.1","5.5","10","14.6","0","0.7","3.9","12.8","0","3.7","14.1","36.5","23.8","0","32.2","0","0","0","18.3"
"Upper middle income","UMC","1996","0","0","0","0","0","0","0","0","0","0","0","8.9","21.9","39.2","0","28","51.5","71.9","0","0","0","0","0","0","0"
"China","CHN","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5","0","0","0","0","0","0"
"Comoros","COM","2000","0","0","0","0","0","0","0","0","0","0","65.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Asia & Pacific","EAS","2002","0","0","0","0","0","0","0","0","0","0","0","9.2","23.7","43.2","0","29.9","57.2","79.9","0","0","0","0","0","0","0"
"Egypt, Arab Rep.","EGY","2012","2.58","0.78","29.8","21","26","39.8","4.1","9.5","13.3","16.4","0","0.4","4.5","23.2","0","2.3","22.7","70.3","26.3","0","0","2.99","5.25","0","0"
"United Kingdom","GBR","2013","0","0","33.2","23.1","25.3","40.5","2.9","7.4","12.2","16.9","0","0.1","0.1","0.2","0","0.2","0.2","0.5","0","0","0","0","0","0","0"
"Honduras","HND","2004","0","0","58.1","19.3","44.9","61.8","0.7","2.3","5.9","10.7","0","12.1","21.8","35.4","55.4","27.2","44.2","63.2","64.7","59.3","71.9","0","0","50.2","57.1"
"Ireland","IRL","2011","0","0","32.9","22.5","25.5","40.7","2.8","7.5","12.6","16.7","0","0.4","0.5","0.7","0","0.5","0.7","1.2","0","0","0","0","0","0","0"
"Latin America & Caribbean (excluding high income)","LAC","1990","0","0","0","0","0","0","0","0","0","0","72.190096000481","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lower middle income","LMC","2002","0","0","0","0","0","0","0","0","0","0","0","9.9","28.1","50.2","0","35.5","69","88.6","0","0","0","0","0","0","0"
"Lithuania","LTU","2011","0","0","32.5","23","24.5","39.9","2.6","7.1","12.8","17.2","0","0.5","0.7","1.8","0","0.7","1.7","5.5","18.6","0","0","0","0","0","0"
"Madagascar","MDG","1997","0","0","39.5","21.9","30.1","46","2.3","6.1","10.6","15.3","0","27.9","48.3","67","0","65.4","86.8","96.6","0","0","0","0","0","0","0"
"Mozambique","MOZ","1995","0","0","0","0","0","0","0","0","0","0","76.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malawi","MWI","2010","0","0","45.5","20","36.9","51.8","2.2","5.5","9.3","13.4","0","33.6","53.2","70","18.9","71.4","88.8","96.1","50.7","21.4","56.6","0","0","4.8","17.3"
"Nigeria","NGA","2007","0","0","0","0","0","0","0","0","0","0","64.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Netherlands","NLD","2006","0","0","30","22","24.7","39","3.5","8.7","13.3","17","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"El Salvador","SLV","2006","0","0","45.7","20.8","35.6","51.3","1.7","4.8","9.3","13.8","0","2","6.3","16.6","0","6.9","18.8","42.4","0","0","35.8","0","0","0","27.7"
"Bolivia","BOL","2012","0","0","46.6","22.5","33.7","50.6","0.9","3.4","9","14.5","0","4","6.9","13","20.2","8.2","14.7","28.3","43.3","35.4","61.2","0","0","12.9","34.7"
"Dominican Republic","DOM","2008","0","0","47.8","20.3","37.5","53.4","1.7","4.6","8.6","13.1","0","1","4.1","12.8","0","3.8","14.1","35.2","44.2","0","55.2","0","0","0","38.8"
"Dominican Republic","DOM","2006","0","0","51.8","19.4","41.1","56.9","1.4","4","7.7","12.1","0","1.3","4.5","13","0","4.5","14.2","34.5","44.2","0","54","0","0","0","38.8"
"Fragile and conflict affected situations","FCS","1996","0","0","0","0","0","0","0","0","0","0","0","29.5","43.8","59.2","0","55.5","72.4","86.9","0","0","0","0","0","0","0"
"Ireland","IRL","2006","0","0","32.7","22.5","25.6","40.7","3.1","7.9","12.4","16.4","0","0.1","0.2","0.3","0","0.1","0.5","0.5","0","0","0","0","0","0","0"
"Iceland","ISL","2006","0","0","30.2","21.5","25.4","39.5","3.6","8.9","13.4","16.7","0","0","0.1","0.2","0","0.2","0.2","0.5","0","0","0","0","0","0","0"
"Latin America & Caribbean","LCN","2014","0","0","0","0","0","0","0","0","0","0","20.3485806868449","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madagascar","MDG","2005","0","0","39.9","20.5","32.4","47.5","2.7","6.7","10.8","14.6","80.6","30.7","51.8","69.5","0","72","89.2","97.1","73.2","0","0","0","0","0","0"
"Namibia","NAM","2007","0","0","0","0","0","0","0","0","0","0","33.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nepal","NPL","2005","0","0","0","0","0","0","0","0","0","0","60.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Palau","PLW","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.9","0","0","0","0","0","0"
"Sub-Saharan Africa","SSF","2012","0","0","0","0","0","0","0","0","0","0","0","17.2","33.7","52.7","0","43.8","68.9","86.1","0","0","0","0","0","0","0"
"Chad","TCD","2011","0","0","43.3","21.8","32.4","48.8","1.8","4.9","9.7","14.8","0","15.3","30.8","50.6","19.7","38.4","66.5","86.2","46.7","22.6","52.5","0","0","6.6","20.9"
"South Africa","ZAF","1993","0","0","59.3","18.2","46.7","64.3","1.3","2.9","5.3","9.3","0","9.5","21.7","36.6","0","29.3","47.8","65.1","0","0","0","0","0","0","0"
"Germany","DEU","2015","-0.18","0.59","31.7","22.6","24.8","39.7","3.1","7.8","12.9","17","0","0","0","0.1","0","0","0","0.2","0","0","0","27.88","53.88","0","0"
"Dominican Republic","DOM","2003","0","0","52","19.3","41.6","57","1.3","3.8","7.8","12.1","0","2.3","6.3","15.8","0","6.9","17.9","39.6","41.5","0","55.4","0","0","0","33.9"
"Ecuador","ECU","1987","0","0","50.5","20.9","38.4","54.4","1","3.3","8.1","13.3","0","7.3","14.5","27","0","17.6","32.4","55.2","0","0","0","0","0","0","0"
"Haiti","HTI","2000","0","0","0","0","0","0","0","0","0","0","93.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madagascar","MDG","2014","0","0","0","0","0","0","0","0","0","0","77.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanzania","TZA","2000","0","0","37.3","21.9","28.9","44.7","2.7","6.8","11.3","15.4","70.1","46.1","64.9","78.8","0","86","96.2","99.4","0","0","0","0","0","0","0"
"Angola","AGO","2000","0","0","52","20.2","40.2","56.1","1","3.2","7.8","12.7","86.5","14.6","26.9","44.2","0","32.3","55.6","78.1","0","0","0","0","0","0","0"
"Argentina","ARG","1980","0","0","81.6","45.2","60.4","93.2","4","10.6","20.4","30.8","0","0.4","0.8","3","0","0.8","2.4","11","0","0","0","0","0","0","0"
"Belgium","BEL","2014","0","0","28.1","22.8","22.4","36.9","3.4","8.6","13.9","17.8","0","0","0","0.1","0","0","0.2","0.2","0","0","0","0","0","0","0"
"Bulgaria","BGR","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
"Finland","FIN","2010","0","0","27.7","22.6","22.5","37","3.7","9.2","13.8","17.4","0","0","0","0","0","0","0","0.2","0","0","0","28.13","48.95","0","0"
"Georgia","GEO","1997","0","0","40.7","22.8","29.9","46.1","1.8","5.1","10.4","15.6","0","6.2","14.9","31.1","0","17.6","38.1","66.8","0","0","0","0","0","0","0"
"Honduras","HND","1991","0","0","51.9","19.5","40.8","56.7","1.2","3.7","7.7","12.3","0","13.4","26.4","44.4","0","33.4","56.3","78.3","0","0","0","0","0","0","0"
"Lithuania","LTU","2010","0","0","33.6","23.2","24.8","40.3","2.3","6.5","12.5","17.6","0","1","1.6","3.2","0","1.5","3.2","8.4","19.2","0","0","7.91","16.79","0","0"
"Mongolia","MNG","2016","1.86","1.42","32.3","22.3","25.6","40.6","3.3","8","12.4","16.6","0","0.1","1.2","8.1","0","0.5","6.5","30.6","0","0","0","4.48","8.77","0","0"
"South Asia (IDA & IBRD)","TSA","2005","0","0","0","0","0","0","0","0","0","0","39.8081870670211","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"World","WLD","2012","0","0","0","0","0","0","0","0","0","0","0","3.8","11.4","24.3","0","12.8","31.3","50.8","0","0","0","0","0","0","0"
"Belgium","BEL","2011","0","0","28.1","22.7","22.3","36.8","3.3","8.6","14","18","0","0.1","0.1","0.2","0","0.2","0.2","0.5","0","0","0","0","0","0","0"
"Czech Republic","CZE","2007","0","0","26","21.8","22.3","36.2","3.9","9.7","14.6","17.7","0","0","0.1","0.2","0","0","0.2","0.5","9","0","0","0","0","0","0"
"Spain","ESP","2015","-2.16","-1.53","36.2","23.5","26.2","42.1","1.9","5.8","11.7","17","0","0.6","0.9","1.5","0","1","1.5","3.2","0","0","0","15.9","36.58","0","0"
"Spain","ESP","2005","0","0","32.4","23.2","24.3","39.6","2.5","7","12.8","17.4","0","0.6","0.7","1","0","0.7","1","2.1","0","0","0","0","0","0","0"
