"Country Name","Country Code","Year","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","GINI index (World Bank estimate)","Income share held by fourth 20%","Income share held by highest 10%","Income share held by highest 20%","Income share held by lowest 10%","Income share held by lowest 20%","Income share held by second 20%","Income share held by third 20%","Population living in slums (% of urban population)","Poverty gap at $1.90 a day (2011 PPP) (%)","Poverty gap at $3.20 a day (2011 PPP) (%)","Poverty gap at $5.50 a day (2011 PPP) (%)","Poverty gap at national poverty lines (%)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Rural poverty gap at national poverty lines (%)","Rural poverty headcount ratio at national poverty lines (% of rural population)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","Urban poverty gap at national poverty lines (%)","Urban poverty headcount ratio at national poverty lines (% of urban population)"
"Least developed countries: UN classification","LDC","2014","0","0","0","0","0","0","0","0","0","0","62.6722111759239","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malta","MLT","2013","0","0","28.8","22.5","23.1","37.7","3.5","8.6","13.6","17.5","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Ethiopia","ETH","2015","1.67","4.91","39.1","20.6","31.4","46.7","2.6","6.6","11","15","0","7.7","22.7","45","0","26.7","61.4","84.7","23.5","0","0","1.61","3.66","0","0"
"Fiji","FJI","2013","1.17","-0.51","36.7","21.3","29.7","44.7","3.1","7.5","11.3","15.2","0","0.2","2.9","14.9","0","1.4","14.1","48.6","34","0","0","3.52","7.47","0","0"
"United Kingdom","GBR","2011","0","0","33.2","22.8","25.3","40.7","2.9","7.4","12.2","16.8","0","0.2","0.3","0.5","0","0.2","0.5","0.7","0","0","0","0","0","0","0"
"Gambia, The","GMB","2015","0","0","35.9","21.8","28.7","43.6","3","7.4","11.6","15.7","0","2.2","10.8","30.1","0","10.1","37.8","72.5","48.6","0","0","0","0","0","0"
"Honduras","HND","2014","0","0","50.4","20.7","38.1","55.1","1.3","3.6","7.7","12.9","27.5","5.4","13.1","25.8","49.3","15.9","31.8","53.9","62.8","51.1","65","0","0","47.7","61"
"Iceland","ISL","2003","0","0","26.8","22","22.6","36.6","3.8","9.5","14.3","17.6","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Lao PDR","LAO","2012","0","0","36.4","21","29.8","44.6","3.2","7.6","11.5","15.3","0","5.3","20","42.9","5.5","22.7","58.7","85","23.4","6.8","28.6","0","0","2.3","10"
"Low income","LIC","2012","0","0","0","0","0","0","0","0","0","0","0","17.7","34.7","54.5","0","44.8","71.4","89.1","0","0","0","0","0","0","0"
"Luxembourg","LUX","2008","0","0","32.6","22.2","25.7","40.7","3.2","7.8","12.6","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thailand","THA","1996","0","0","42.9","20.4","34.3","49.9","2.6","6.2","9.8","13.7","0","0.3","3.3","14.8","0","2.2","15.2","45.4","0","0","0","0","0","0","0"
"United States","USA","2004","0","0","40.5","22.5","30.2","46","1.7","5.2","10.7","15.7","0","0.9","1","1.2","0","1","1.2","2","0","0","0","0","0","0","0"
"Austria","AUT","2008","0","0","30.4","22.6","24.1","38.6","3","8","13.3","17.5","0","0.2","0.3","0.5","0","0.5","0.5","1","0","0","0","0","0","0","0"
"Brazil","BRA","2004","0","0","56.5","18.8","44.5","60.8","0.9","2.9","6.5","11","0","3.6","8.5","18","0","9.7","21.6","40.3","22.4","0","0","0","0","0","0"
"Switzerland","CHE","2015","0.98","0.84","32.3","22.6","25.2","40.2","3.2","7.8","12.5","16.8","0","0","0","0","0","0","0","0","0","0","0","33.59","66.35","0","0"
"Spain","ESP","2011","0","0","35.7","23.5","25.9","41.7","1.9","6","11.8","16.9","0","0.9","1.1","1.6","0","1.2","1.7","2.7","0","0","0","0","0","0","0"
"IBRD only","IBD","2007","0","0","0","0","0","0","0","0","0","0","28.9029806632606","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan","JOR","2014","0","0","0","0","0","0","0","0","0","0","12.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Latin America & Caribbean (excluding high income)","LAC","1995","0","0","0","0","0","0","0","0","0","0","32.9995820180183","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","MRT","2004","0","0","40.2","20.6","32.6","47.4","2.6","6.5","10.7","14.7","0","3.6","13.8","33.7","15.3","14.4","42.5","75","46.7","20.6","59","0","0","7.6","28.9"
"Venezuela, RB","VEN","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.7","0","0","0","0","0","0"
"Vietnam","VNM","1992","0","0","35.7","21.3","28.6","44.1","3.3","7.8","11.5","15.3","0","16.5","37.9","59.2","0","52.9","80","94.4","0","0","0","0","0","0","0"
"Zimbabwe","ZWE","2014","0","0","0","0","0","0","0","0","0","0","25.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","AUS","1989","0","0","33.2","23.2","24.7","40.6","2.6","7.3","12.4","16.6","0","0.5","0.6","0.9","0","0.7","1","1.5","0","0","0","0","0","0","0"
"Chile","CHL","2000","0","0","52.8","18.7","42.6","58","1.3","3.8","7.7","11.8","0","1.8","4.4","11.5","0","4.4","12.4","31","20.2","0","23.7","0","0","0","19.7"
"Costa Rica","CRI","1993","0","0","46","22.1","33.7","50.6","1","3.9","9.2","14.3","0","4.6","7.6","15","0","8","16.1","35","0","0","0","0","0","0","0"
"Early-demographic dividend","EAR","2007","0","0","0","0","0","0","0","0","0","0","31.4435037221498","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gambia, The","GMB","1998","0","0","48.5","20.3","37.7","53.9","1.5","4.3","8.6","12.9","0","36","54","69.8","0","70.5","86.8","95.2","0","0","0","0","0","0","0"
"High income","HIC","1984","0","0","0","0","0","0","0","0","0","0","0","0.4","0.7","1.4","0","0.7","1.5","3.7","0","0","0","0","0","0","0"
"Honduras","HND","1996","0","0","55.7","19.4","43.7","59.6","0.9","2.9","6.8","11.4","0","13.3","24.9","40.6","0","30.4","50.7","71.7","0","0","0","0","0","0","0"
"Niger","NER","1995","0","0","0","0","0","0","0","0","0","0","83.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Portugal","PRT","2015","-0.87","-0.74","35.5","22.3","27.3","42.7","2.4","6.7","12","16.3","0","0.3","0.5","1.1","0","0.5","1.2","3","0","0","0","12.55","26.84","0","0"
"Romania","ROU","2006","0","0","39.6","22.8","29","45","1.7","5","10.8","16.3","0","2.9","7.2","16.6","0","8","19","40.2","24.6","0","0","0","0","0","0"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2005","0","0","0","0","0","0","0","0","0","0","33.1144216496494","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","TUN","1990","0","0","80.4","44.2","61.4","92.6","4.6","11.8","20.8","30.6","0","4.8","18.6","47.8","0","19.6","57.8","115.4","0","0","0","0","0","0","0"
"Uzbekistan","UZB","2002","0","0","33","21.1","27.4","42","3.3","8.2","12.6","16.1","0","18.2","41.5","62.8","0","58.2","85.9","96.1","0","0","0","0","0","0","0"
"Vietnam","VNM","2006","0","0","35.8","22.3","27.7","43.3","2.9","7.2","11.5","15.8","0","4.9","17.6","38.8","0","19.5","51.3","80.6","0","0","0","0","0","0","0"
"World","WLD","2015","0","0","0","0","0","0","0","0","0","0","0","3.1","9.2","20.9","0","10","26.3","46","0","0","0","0","0","0","0"
"Argentina","ARG","2004","0","0","48.3","22.4","34.7","52.3","1.1","3.5","8.1","13.7","0","1.8","4.5","10.7","0","5.4","12.1","25.9","0","0","0","0","0","0","40.2"
"Australia","AUS","1995","0","0","32.6","22.9","24.6","40.4","2.9","7.6","12.5","16.7","0","0.6","0.8","1","0","0.7","1.2","1.7","0","0","0","0","0","0","0"
"Congo, Rep.","COG","2004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.4","0","0","0","50.7","25.7","65.2","0","0","16","43.3"
"Early-demographic dividend","EAR","2005","0","0","0","0","0","0","0","0","0","0","33.0704296685834","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greece","GRC","2009","0","0","33.6","22.5","26","40.9","2.6","7","12.5","17.1","0","0.5","0.6","0.7","0","0.5","0.7","1.5","0","0","0","0","0","0","0"
"Jamaica","JAM","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.9","0","42.2","0","0","0","22.8"
"Latin America & Caribbean","LCN","2011","0","0","0","0","0","0","0","0","0","0","0","2.3","5.1","11.9","0","5.6","13.1","29.6","0","0","0","0","0","0","0"
"Lesotho","LSO","2007","0","0","0","0","0","0","0","0","0","0","44.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Macedonia, FYR","MKD","2014","6.2","1.9","35.6","24.3","25","41","1.7","5.6","11.9","17.2","0","2.5","4.5","9.8","0","5","10","25.1","22.1","0","0","4.55","10.42","0","0"
"Malawi","MWI","2007","0","0","0","0","0","0","0","0","0","0","67.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"West Bank and Gaza","PSE","2005","0","0","34.7","22.5","26.7","42.3","2.9","7.3","11.8","16.1","0","0.1","1.1","6.7","0","0.9","5.7","24.7","0","0","0","0","0","0","0"
"South Asia","SAS","1984","0","0","0","0","0","0","0","0","0","0","0","16.4","38.8","61.1","0","52.8","84.2","96.1","0","0","0","0","0","0","0"
"Suriname","SUR","2005","0","0","0","0","0","0","0","0","0","0","3.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","AGO","2009","0","0","0","0","0","0","0","0","0","0","65.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armenia","ARM","2011","0","0","29.4","22.2","24","38.6","3.8","9","13.2","17","0","0.3","3.8","19.1","7.9","2.2","18.8","60.8","35","6.9","34.5","3.16","5.66","8.4","35.2"
"Belgium","BEL","2012","0","0","27.5","22.8","21.9","36.4","3.4","8.7","14.1","18","0","0.1","0.2","0.2","0","0.2","0.2","0.5","0","0","0","0","0","0","0"
"Chile","CHL","2011","0","0","47.6","19.4","38.5","53.8","1.8","4.9","8.9","13","0","0.7","1.6","5.2","0","1.6","4.7","16.4","22.2","0","37.7","0","0","0","19.9"
"Colombia","COL","2007","0","0","0","0","0","0","0","0","0","0","16.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Djibouti","DJI","2002","0","0","40","21.8","30.8","46.5","2.3","6","10.6","15.1","0","6","17.6","37.2","0","20.6","47.8","77.1","0","0","0","0","0","0","0"
"Honduras","HND","2005","0","0","59.5","19","46.1","62.9","0.5","1.9","5.6","10.6","34.9","13","21.6","34.3","55.4","26.5","41.4","60.8","63.7","60.4","69.5","0","0","49.4","57.7"
"Kazakhstan","KAZ","2009","0","0","28.2","22.4","23.1","37.8","4","9.4","13.4","17.1","0","0","0.4","4.7","1.3","0.2","2.6","22.7","8.2","0","12.1","0","0","0","4.1"
"Libya","LBY","1990","0","0","0","0","0","0","0","0","0","0","70.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Namibia","NAM","2003","0","0","63.3","14.5","54.8","69","1.1","3","5.3","8.1","0","10.2","24.4","41.8","12.9","31.5","56.1","73.2","37.7","16.5","48.7","0","0","6","17"
