"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Africa Eastern and Southern","AFE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5515.11681090175","5795.16101961005","6182.68468627818","6094.52520195667","6751.79101388619","7232.90224018777","8072.34093924826","8617.71453701617","9033.32258110946","10129.7355839129","10949.4713025383","11748.822798165","12851.5973923282","13961.4885275662","15152.0128222088","15956.2740783738","17619.8955829093","19262.3336302855","20036.6499994178","","",
"Africa Eastern and Southern","AFE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","0","0","2799998.88112045","1399999.44056022","2799998.88112045","2799998.88112045","2799998.88112045","4199998.32168067","5599997.76224089","2799998.88112045","4199998.32168067","6985476.14225652","10251867.9728003","5773073.19604799","7377986.34929872","8305088.20645571","10349999.991","11144831.9736102","10978241.3750546","12920745.019701","19478383.8006111","20176922.1496437","20664645.2906925","19119271.9700497","14761444.3364422","11357359.4320882","13285289.5684024","23549533.6038327","14783768.5050057","42056061.6448521","30598167.9917569","104445468.440819","62848125.6414902","76663057.5750853","79263830.671328","68604359.9001978","107522455.020004","91895364.4398549","88828272.9107401","64143929.8695016","78800884.320691","36980484.6642858","34239386.6243244","43985632.3073441","286890640.851366","160418469.910011","1459557939.88036","169172439.848618","294437192.078452","224715976.536424","182704294.336385","226106631.915093","207245974.687897","217533585.395061","235603332.786081","239146274.089809","198395562.567318","233550313.708824","252510005.632623","205669326.969899","101797468.179636",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","5599997.76224089","5599997.76224089","8399996.64336134","15399993.8461625","15399993.8461625","26599989.3706442","26599989.3706442","32199987.1328851","37799984.895126","39199984.3356862","46199981.5384874","47527375.6763246","63773980.2137103","78078851.9005019","72148373.0902195","107043108.038023","111424412.832397","147872278.821728","181309089.768229","177728123.571667","220288726.280588","234429968.226397","212926712.018452","220912474.528507","173752336.219322","126039179.160406","134591645.837634","189284510.541473","179288967.013878","162062975.153806","167274402.486613","209382301.388228","180139306.880349","260238512.710708","236955019.516439","393810107.268975","383757638.537913","386585738.585637","343401984.91352","329550880.441077","396369882.141538","458714373.790437","587668403.787097","762155199.05751","1066498399.69093","1260750199.58289","1460852924.74055","1836130868.5094","1913591848.82785","1912271267.31509","2068158316.32213","2218565654.33228","2365770376.11263","2379311460.10971","2368640505.99745","2323710059.3799","2547610682.40431","2791950582.57676","2435556536.3836","2114505004.05141","1578899843.6652",
"Afghanistan","AFG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
