"Country Name","Country Code","Year","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Adequacy of social safety net programs (% of total welfare of beneficiary households)","Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)","Children in employment, wage workers (% of children in employment, ages 7-14)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Coverage of social insurance programs (% of population)","Coverage of social insurance programs in 2nd quintile (% of population)","Coverage of social insurance programs in 3rd quintile (% of population)","Coverage of social insurance programs in 4th quintile (% of population)","Coverage of social insurance programs in poorest quintile (% of population)","Coverage of social insurance programs in richest quintile (% of population)","Coverage of social protection and labor programs (% of population)","Coverage of social safety net programs (% of population)","Coverage of social safety net programs in 2nd quintile (% of population)","Coverage of social safety net programs in 3rd quintile (% of population)","Coverage of social safety net programs in 4th quintile (% of population)","Coverage of social safety net programs in poorest quintile (% of population)","Coverage of social safety net programs in richest quintile (% of population)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)","Labor force participation rate, male (% of male population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Ratio of female to male labor force participation rate (%) (national estimate)","Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, male (% of male youth population)","Share of youth not in education, employment or training, total (% of youth population)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
"France","FRA","1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.8855018615723","61.7136993408203","50.7669982910156","42.7257995605469","47.9842987060547","45.247200012207","46.7761001586914","66.5809020996094","56.1721000671387","0","0","10.5500001907349","17.9699993133545","70.2545304788921","0","0","0","12.5930995941162","0","7.31020021438599","0","9.62230014801025","23.0484008789063","0","16.1515998840332","0","19.5414009094238"
"Greenland","GRL","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.65999984741211","0","13.3599996566772","0","11.5600004196167","0","0","0","0","0"
"Haiti","HTI","1971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.6399993896484","75.1800003051758","71.7300033569336","70.3499984741211","89.5500030517578","79.3899993896484","0","0","0","0","78.5594596054457","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA total","IDA","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.6469308310885","0","0","0","0","0","0","0","0","0","38.5854542064923","402190086","0","0","0","0","0","0","0","5.21856766912656","0","6.0482470081537","0","0","10.5547548637731","0","11.7083571093248","0"
"IDA total","IDA","1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.3114205884616","0","0","0","0","0","0","0","0","0","38.1422910729828","358542055","0","0","0","0","0","0","0","4.77410248742912","0","5.59482830823093","0","0","9.67797591272139","0","10.6394401991469","0"
"Iceland","ISL","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.14100003242493","72.7123031616211","77.4121017456055","75.0858001708984","78.0390014648438","73.5035018920898","75.6794967651367","77.0786972045898","82.6231002807617","79.8787002563477","47.5275407497424","189265","25.0799999237061","31.4500007629395","93.2895242888109","4.71000003814697","6.96999979019165","5.8899998664856","5.6648998260498","6.30900001525879","6.30690002441406","6","6.00019979476929","12.347900390625","14.5229997634888","14.6948003768921","13.2589998245239","13.5336999893188"
"Israel","ISR","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.22200000286102","46.3120002746582","67.7170028686523","56.7490005493164","55.007999420166","68.088996887207","61.6879997253418","51.6440010070801","73.1370010375977","62.1240005493164","42.597026768611","2434792","0","0","70.612686156671","0","0","0","10.7430000305176","7.32800006866455","7.3270001411438","8.77999973297119","8.7819995880127","17.6060009002686","12.8489999771118","12.8520002365112","14.9209995269775","14.9259996414185"
"Latin America & Caribbean (excluding high income)","LAC","2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.477061341185","44.7316821219753","74.9853985167958","59.2113999856274","45.3170320935614","67.9326804198354","56.5084639486427","50.3728185615824","80.711028338243","64.8962500524534","38.6740292692085","206329940","0","0","62.9032695496175","0","0","0","10.8976053821077","6.76194908552775","6.84628704407787","8.21278790950612","8.50564880356457","19.964131828584","13.0753676724978","12.6453294515841","15.768449486517","15.6515307652704"
"Low & middle income","LMY","2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.7368761052027","0","0","0","0","0","0","0","0","0","38.8067294106074","2506233934","0","0","0","0","0","0","0","4.87020283987221","0","5.20576801478064","0","0","11.3650150535667","0","12.1193202679868","0"
"Lithuania","LTU","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.65799999237061","46.5619010925293","51.3926010131836","48.7540016174316","25.8502006530762","32.657398223877","29.3118991851807","52.0368995666504","61.9809989929199","56.5494003295898","50.3766451128096","1522388","9.90999984741211","14.75","83.9562130526399","10.539999961853","13.6499996185303","12.1199998855591","10.5213003158569","17.0979995727539","17.0832996368408","13.789999961853","13.7849998474121","22.3570003509521","35.1349983215332","35.0582008361816","29.6089992523193","29.5531005859375"
"Luxembourg","LUX","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7519998550415","37.9749984741211","67.6008987426758","52.4752006530762","50.3488998413086","52.2442016601563","51.312801361084","39.0625","68.6871032714844","53.5620002746582","37.2050080271925","170047","6.90999984741211","14.1000003814697","56.8702101842994","0","0","0","2.78399991989136","1.58299994468689","1.5813000202179","2.02999997138977","0","3.10439991950989","4.24399995803833","4.21269989013672","3.69899988174438","3.67829990386963"
"Middle East & North Africa","MEA","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.9940221655414","0","0","0","0","0","0","0","0","0","19.4803272427603","94573092","0","0","0","0","0","0","0","11.0116258147395","0","12.3667903417787","0","0","23.3860685228293","0","26.1450676528379","0"
"Mauritania","MRT","2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.7210006713867","0","0","0","0","0","0","0","0","0","29.7624049584227","842526","0","0","0","0","0","0","0","9.11100006103516","0","10.5170001983643","0","0","15.4379997253418","0","17.8339996337891","0"
"Other small states","OSS","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.6448705532414","0","0","0","0","0","0","0","0","0","38.5361932470441","10745871","0","0","0","0","0","0","0","9.53961366548333","0","11.7527442480513","0","0","21.9204558896542","0","24.9826069353174","0"
"Peru","PER","2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.609001159668","54.0336990356445","72.165901184082","62.8103981018066","57.8083000183105","62.7267990112305","60.1743011474609","60.0960006713867","78.301399230957","68.9080963134766","43.4156135964372","12771228","18.8799991607666","24.4699993133545","76.7495871869775","21.4862995147705","12.0860996246338","16.7616004943848","0","5.7039999961853","0","5.80000019073486","0","0","9.4689998626709","0","9.17000007629395","0"
"West Bank and Gaza","PSE","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.1339998245239","11.6115999221802","55.8060989379883","33.9945983886719","11.6184997558594","53.0205001831055","32.757999420166","19.0541000366211","71.9177017211914","45.8278007507324","20.7670376314163","1202001","22.4400005340576","25.4200000762939","26.4943116654221","38.0780982971191","26.3850994110107","32.1077995300293","39.0601005554199","22.3659992218018","22.4027996063232","25.8199996948242","25.82080078125","60.5783996582031","36.101001739502","36.3256988525391","40.3419990539551","40.5354995727539"
"Qatar","QAT","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0270000007003546","0","0","0","0","0","0","0","0","0","17.1824442448302","414132","0","0","0","0","0","0","0","1.58200001716614","0","2.6949999332428","0","0","5.8899998664856","0","9.71399974822998","0"
"Rwanda","RWA","2005","8.3274440070224","8.3201549549615","3.84208191726594","0","2.68106916709427","0.69114269619663","0","0","0","0.772505820789995","0","0.484665018481658","0.898728234323741","0","2.47775339121522","34.4584126865578","1.87243969276457","1.22557827872848","1.82969136444148","2.77147222428177","0.735318894664326","2.79923937466835","91.9260025024414","0","0","0","0","0","0","84.5999984741211","81.3000030517578","83.0999984741211","51.192738858479","4505848","0","0","104.059034807492","0","0","0","0","1.43499994277954","0","1.69599997997284","0","0","1.77100002765656","0","2.16000008583069","0"
"Senegal","SEN","1985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.439998626709","83.1800003051758","68.7600021362305","63.8199996948242","90.1600036621094","76.7699966430664","0","0","0","0","70.7852674163601","0","0","0","0","0","0","0","0","0","0","0","0","0"
"San Marino","SMR","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.25","82.4400024414063","71.0299987792969","30.9599990844727","34.7099990844727","32.9099998474121","67.6699981689453","86.2399978637695","76.6999969482422","0","0","0","0","78.467068466121","0","0","0","10.9499998092651","0","4.42000007629395","0","7.38000011444092","34.4000015258789","0","22.8600006103516","0","28.0499992370605"
"Suriname","SUR","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.22199988365173","41.6699981689453","74.1699981689453","57.4599990844727","22.9699993133545","45.1300010681152","33.939998626709","47.6699981689453","76.9400024414063","61.8899993896484","38.8525955584992","199302","0","0","61.9573650329013","0","0","0","12.5799999237061","4.47700023651123","3.59999990463257","7.55999994277954","0","25.7000007629395","11.1789999008179","7.44999980926514","17.8910007476807","13.6899995803833"
"Turks and Caicos Islands","TCA","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.7999992370605","0","0","0","0","0","59.2099990844727","0","0","0","0","0","0","0","0","0","0","0","0","7.44999980926514","0","0","0","0","0"
"Togo","TGO","2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.181999206543","0","0","0","0","0","0","0","0","0","50.2304357663243","2762375","0","0","0","0","0","0","0","2.15599989891052","0","1.86199998855591","0","0","3.35700011253357","0","2.74900007247925","0"
"Thailand","THA","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.0830001831055","0","0","0","51.4000015258789","61.8600006103516","56.7200012207031","65.7900009155273","81.5299987792969","73.5999984741211","45.6268922372201","34200918","0","0","80.6942253165267","0","0","0","4.65710020065308","3.3989999294281","4.3617000579834","3.40000009536743","4.49079990386963","0","8.38000011444092","0","7.56599998474121","0"
"Tajikistan","TJK","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.447998046875","0","0","0","0","0","0","0","0","0","40.6947554314138","1976235","0","0","0","0","0","0","0","11.043999671936","0","11.2220001220703","3.20000004768372","0","20.8649997711182","0","21.2159996032715","0"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.1592585717133","0","0","0","0","0","0","0","0","0","34.0955381780425","168450649","0","0","0","0","0","0","0","5.12549766495332","0","5.96017085122206","0","0","10.0452831925152","0","11.3330151297388","0"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1988","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.7099854856504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Asia (IDA & IBRD)","TSA","1981","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.3086037590208","73.8650458436401","52.2805849303585","28.7405349689319","85.951220828168","58.3427863130453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanzania","TZA","2006","0","0","0","0","0","0","0.92","1.07","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","78.0199966430664","83.298698425293","87.7833023071289","85.434196472168","79.9588012695313","79.282600402832","79.6414031982422","87.1501998901367","89.668098449707","88.3490982055664","50.354469527046","18467737","26","29.6000003814697","97.1919795299523","11.0656003952026","6.67509984970093","9.00500011444092","4.41940021514893","3.11800003051758","2.10190010070801","4.65999984741211","3.29940009117126","7.39379978179932","7.35799980163574","5.41699981689453","8.74199962615967","6.4702000617981"
"Zambia","ZMB","2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.3830032348633","0","0","0","0","0","0","0","0","0","47.4439939266255","4700517","0","0","0","0","0","0","0","13.1820001602173","0","11.91100025177","0","0","21.6809997558594","0","20.4699993133545","0"
"Isle of Man","IMN","1983","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.59999990463257","0","8","0","7.09999990463257","0","0","0","0","0"
"Australia","AUS","1984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.0065994262695","69.6305999755859","55.108699798584","66.1671981811523","75.7751998901367","71.0197982788086","45.2994995117188","76.2547988891602","60.5502014160156","0","0","0","0","59.4054409317421","0","0","0","9.47690010070801","0","8.6870002746582","0","8.98680019378662","15.9042997360229","0","17.5158996582031","0","16.7728004455566"
"Austria","AUT","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.20100021362305","51.2980995178223","63.6276016235352","57.2406005859375","56.1888008117676","62.8549995422363","59.5015983581543","54.0471000671387","67.3216018676758","60.4449996948242","46.0504635195916","4256778","21.1000003814697","32.8300018310547","80.2819578972158","8.65999984741211","7.71000003814697","8.1899995803833","5.08629989624023","5.48400020599365","5.48699998855591","5.30000019073486","5.30140018463135","10.097900390625","11.1099996566772","11.2000999450684","10.6319999694824","10.6765003204346"
"Azerbaijan","AZE","1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.3639984130859","0","0","0","0","0","0","0","0","0","45.7725561343237","3185885","0","0","0","0","0","0","0.870000004768372","8.32199954986572","0.46000000834465","8.4040002822876","0.649999976158142","0","22.1159992218018","0","20.8540000915527","0"
"Burundi","BDI","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.4339981079102","0","0","0","0","0","0","0","0","0","52.4089479124794","2589699","0","0","0","0","0","0","0","2.18400001525879","0","1.63999998569489","0","0","4.14099979400635","0","2.93799996376038","0"
"Bahamas, The","BHS","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.79999995231628","0","0","0","0","0","0","0","0","0","47.7304487571401","228988","0","0","0","0","0","0","0","13.0240001678467","0","13.8000001907349","0","0","24.3610000610352","0","27.8780002593994","0"
"Brazil","BRA","1960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.0200004577636","163.2200012207032","102.4800033569336","36.900001525879","177.4199981689454","106.3199996948242","0","0","0","0","41.5962145267768","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brunei Darussalam","BRN","1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.635999977588654","0","0","0","0","0","0","0","0","0","37.9001789620203","140812","0","0","0","0","0","0","0","4.59899997711182","0","5.30299997329712","0","0","14.9420003890991","0","16.1730003356934","0"
"Canada","CAN","2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.46399998664856","58.9810981750488","67.9073028564453","63.371898651123","66.4926986694336","67.4489974975586","66.9800033569336","62.5127983093262","72.5352020263672","67.4428024291992","46.8509208046546","18274723","20.7700004577637","28.6499996185303","86.1827037947757","12.7771997451782","11.8731002807617","12.316499710083","5.64949989318848","6.38199996948242","6.38019990921021","6.03999996185303","6.03609991073608","10.0560998916626","12.2580003738403","12.2658004760742","11.1899995803833","11.1899003982544"
"Channel Islands","CHI","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.7930002212524","0","0","0","0","0","0","0","0","0","43.493617548643","80690","0","0","0","0","0","0","0","10.9099998474121","0","9.5600004196167","0","0","21.0349998474121","0","18.3090000152588","0"
"Cameroon","CMR","2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.1900024414063","56.5999984741211","57.7000007629395","57.0999984741211","47.2000007629395","51.5999984741211","49.2999992370605","65.5","76.4000015258789","70.6999969482422","46.7372140178841","6606532","0","0","85.7329825809143","0","0","0","6.69999980926514","8.14900016784668","8.18000030517578","7.46000003814697","7.46000003814697","0","14.6169996261597","0","13.2340002059937","0"
"Colombia","COL","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.99100017547607","43.8709983825684","73.3300018310547","58.1110000610352","43.7299995422363","62.814998626709","53.2120018005371","52.1559982299805","80.6689987182617","65.9380035400391","38.8711542586544","20023285","0","0","64.6543270136977","34.6199989318848","13.3299999237061","24.3099994659424","15.8839998245239","9.20400047302246","9.09700012207031","11.8699998855591","11.8699998855591","31.2169990539551","18.7530002593994","18.5049991607666","23.8360004425049","23.7609996795654"
"Colombia","COL","1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.09100008010864","44.4599990844727","66.4000015258789","54.4099998474121","0","0","0","0","0","0","34.5145100483528","16146328","0","0","0","0","0","0","23.3099994659424","17.8819999694824","17.2299995422363","20.0599994659424","20.0599994659424","0","34.2350006103516","0","38.2400016784668","0"
"Finland","FIN","1987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.9099998474121","67.6999969482422","61.6100006103516","0","0","0","47.7999992370605","57.2000007629395","52.4000015258789","0","0","0","0","83.5664311180056","0","0","0","4.3600001335144","0","5.71000003814697","0","5.07000017166138","0","0","0","0","0"
"IDA & IBRD total","IBT","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.7490296657591","0","0","0","0","0","0","0","0","0","38.5494869308267","2593254123","0","0","0","0","0","0","0","5.16751520778577","0","5.517097419391","0","0","12.0832636519627","0","12.8791986982052","0"
"India","IND","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.1689987182617","0","0","0","0","0","0","0","0","0","26.8058148478232","469002609","0","0","0","0","0","0","0","3.93499994277954","0","4.11600017547607","0","0","10.6330003738403","0","10.7889995574951","0"
"Ireland","IRL","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.41600000858307","49.9696006774902","61.671501159668","55.7050018310547","44.5815010070801","50.1721992492676","47.4333992004395","54.8535003662109","69.0839996337891","61.8283004760742","44.4478881042157","2216634","21.3400001525879","32.6399993896484","79.4011647515874","12.9300003051758","15.5699996948242","14.2799997329712","8.90359973907471","10.7829999923706","10.7295999526978","9.39999961853027","9.90359973907471","16.3486003875732","23.5400009155273","23.5494003295898","20.7299995422363","20.2339992523193"
"Italy","ITA","1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.19600009918213","28.604700088501","59.3217010498047","43.2918014526367","36.1901016235352","46.0657997131348","41.0928993225098","33.5867004394531","64.2133026123047","48.230598449707","36.1343034333152","23201045","8.9399995803833","15.3100004196167","52.3048948941884","0","0","0","0","7.63100004196167","0","10.2399997711182","0","34.9044990539551","26.1949996948242","26.3852005004883","30.0590000152588","30.163200378418"
"Jamaica","JAM","1980","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.2999992370606","83.7399978637696","58.8800010681152","80.8600006103516","135.0599975585938","106.9400024414062","0","0","0","0","119.739378160838","0","0","0","123.9400024414062","0","36.8800010681152","0","71.0199966430664","0","0","96.0800018310546","0","186.0399932861328"
"Latin America & Caribbean (excluding high income)","LAC","1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.770590552279","82.4180290341472","61.846930611109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","LBR","1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.2509994506836","0","0","0","0","0","0","0","0","0","47.2672529230076","745294","0","0","0","0","0","0","0","6.69500017166138","0","5.56199979782104","0","0","5.64799976348877","0","4.77500009536743","0"
"St. Lucia","LCA","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1090002059937","0","0","0","0","0","0","0","0","0","46.0196094254358","99136","0","0","0","0","0","0","0","19.4190006256104","0","20.9829998016357","0","0","41.6749992370605","0","45.0139999389648","0"
"Late-demographic dividend","LTE","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.9303276765787","0","0","65.1874274404534","0","0","0","0","0","0","43.5568704754559","1244220107","0","0","0","0","0","0","0","5.52561604883884","0","5.48562087876667","0","0","13.8775532517231","0","14.1417475457373","0"
"Mali","MLI","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.1490020751953","56.8945007324219","76.4496994018555","66.114501953125","52.9809989929199","66.8601989746094","59.6315994262695","60.7167015075684","81.7141036987305","70.61669921875","42.9626333741994","6292915","0","0","74.3038212000993","31.7268009185791","9.98490047454834","21.308500289917","6.29510021209717","6.4850001335144","6.4423999786377","6.38000011444092","0","7.23810005187988","8.78899955749512","8.94009971618652","8.0620002746582","8.15250015258789"
"Malaysia","MYS","1980","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.1999969482422","132.8200073242188","108.4400024414062","80.1399993896484","162.3200073242188","120.8600006103516","0","0","0","0","98.7432180551548","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nepal","NPL","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.8050003051758","0","0","0","0","0","0","0","0","0","51.0404739553251","14972888","0","0","0","0","0","0","0","3.34400010108948","0","2.89199995994568","0","0","6.22300004959106","0","4.75500011444092","0"
"OECD members","OED","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.06315081841666","48.4290952218154","64.5457541414865","56.2299652364031","43.211028920117","50.7657615210068","47.0560644989676","51.7723364161006","68.8248703917189","60.0299117580325","43.9030776036252","634533631","15.5911688559366","22.5376138752632","76.0048564125474","16.5715666109565","11.1861799271134","13.8509921840578","6.4420068672498","6.22174172728908","6.22272934189333","6.31855133614966","6.3188742582399","13.8794051739731","14.1019067256703","14.1335326171139","13.8644235209163","13.8960345800653"
"Philippines","PHL","1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.3470001220703","0","0","0","37.9799995422363","61.5800018310547","50.1599998474121","48.9599990844727","82.6999969482422","65.8099975585938","37.6627602804111","26996221","0","0","59.2019357813451","0","0","0","9.7495002746582","3.54900002479553","7.85780000686646","3.78800010681152","8.56379985809326","0","7.91499996185303","0","9.5629997253418","0"
"Rwanda","RWA","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.4160003662109","82.678596496582","82.5348968505859","82.6116027832031","65.2151031494141","65.7008972167969","65.4524002075195","83.7182998657227","83.4410018920898","83.588996887207","51.4022235524494","5788485","52.439998626709","57.5499992370605","100.332328192789","5.4766001701355","3.7765998840332","4.64610004425049","1.2418999671936","1.067999958992","1.08589994907379","1.16999995708466","1.16929996013641","2.46589994430542","1.3309999704361","1.35629999637604","1.88499999046326","1.92180001735687"
"Europe & Central Asia (IDA & IBRD countries)","TEC","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.4613645757149","46.0469744857369","60.4994032447016","53.0947398714454","30.4609358834024","42.5482445334905","36.4818747452304","50.0063177362008","65.7372532917169","57.6435983974229","45.0022820064928","199556839","0","0","77.5642495860043","0","0","0","8.43909348497067","8.79984257741341","8.65216275933854","8.65075976513209","0","20.9817086005412","17.5154458004976","19.3390103298651","18.0253017405365","20.0112204570035"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.2621686062127","0","0","0","0","0","0","0","0","0","45.4657001385596","246644042","0","0","0","0","0","0","0","7.16487287865211","0","8.57833765582361","0","0","14.0868806928917","0","16.1357788630069","0"
"Ukraine","UKR","2006","46.2263969725624","39.5289037047455","7.22720418579809","13.203221056831","14.5801998034158","23.5041830327321","0","0","0","50.7400935062883","51.4518295201278","52.5132033334296","52.5441158432191","49.619368468331","47.5710859271815","70.0571477777839","47.4456339716821","50.917219503527","48.7744069552808","46.7890618034533","53.4971476763426","37.2534600164427","18.1089992523193","53.0200004577637","63.4570999145508","57.926399230957","0","0","0","56.7685012817383","68.2369995117188","62.1596984863281","48.039861182266","22027445","0","0","83.1931381625141","0","0","0","0","7.72300004959106","0","6.80999994277954","0","0","15.4289999008179","0","14.8999996185303","0"
"Zambia","ZMB","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.5210037231445","0","0","0","0","0","0","0","0","0","47.3278814648515","3570519","0","0","0","0","0","0","0","18.3780002593994","0","19.3880004882813","0","0","35.689998626709","0","36.9519996643066","0"
"Pre-demographic dividend","PRE","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.8706258870854","0","0","0","0","0","0","0","0","0","43.7421408478792","199271652","0","0","0","0","0","0","0","6.50693978831107","0","7.26747168269509","0","0","12.6803649266467","0","13.8522389487026","0"
